"","nodes","nTree","r2"
"492",92,5,0.807974167354176
"493",93,5,0.764746281627798
"494",94,5,0.789874540276877
"495",95,5,0.789874540276877
"496",96,5,0.817624837135489
"497",97,5,0.817624837135489
"498",98,5,0.832457929146627
"499",99,5,0.832457929146627
"500",100,5,0.855743740798586
"501",1,6,0.972560920447001
"502",2,6,0.962714185727332
"503",3,6,0.957478230665867
"504",4,6,0.96742168012147
"505",5,6,0.964092795819452
"506",6,6,0.951176508478368
"507",7,6,0.955423336891884
"508",8,6,0.957347450898633
"509",9,6,0.948147989610401
"510",10,6,0.937093151973468
"511",11,6,0.942825162894957
"512",12,6,0.921870952097644
"513",13,6,0.944583903246945
"514",14,6,0.936756377614108
"515",15,6,0.945281991471509
"516",16,6,0.943650923193756
"517",17,6,0.916144369193949
"518",18,6,0.935200617852727
"519",19,6,0.917567432565112
"520",20,6,0.927877715115944
"521",21,6,0.925089561720233
"522",22,6,0.926598909274105
"523",23,6,0.924423416775658
"524",24,6,0.927635050844242
"525",25,6,0.942423711515778
"526",26,6,0.888080393359416
"527",27,6,0.911314858990657
"528",28,6,0.918797326764067
"529",29,6,0.917599049098372
"530",30,6,0.89296246620335
"531",31,6,0.91005577965705
"532",32,6,0.893993940107874
"533",33,6,0.88275222613057
"534",34,6,0.883220457521961
"535",35,6,0.918781598826829
"536",36,6,0.881395732459359
"537",37,6,0.906286410701495
"538",38,6,0.909210019532233
"539",39,6,0.912997926806468
"540",40,6,0.912267376511951
"541",41,6,0.911071532623964
"542",42,6,0.88947942403239
"543",43,6,0.907713494631567
"544",44,6,0.887819355111809
"545",45,6,0.880538616395512
"546",46,6,0.895820951819385
"547",47,6,0.878841523743004
"548",48,6,0.88752300060331
"549",49,6,0.876232245569212
"550",50,6,0.891842342856281
"551",51,6,0.859504506616525
"552",52,6,0.897010884252744
"553",53,6,0.897010884252744
"554",54,6,0.878949042737923
"555",55,6,0.878949042737923
"556",56,6,0.886947658519198
"557",57,6,0.832303229868185
"558",58,6,0.863027691294143
"559",59,6,0.860919196222509
"560",60,6,0.862785863390619
"561",61,6,0.863551040272485
"562",62,6,0.867549753861662
"563",63,6,0.879814485389778
"564",64,6,0.855908567644317
"565",65,6,0.855908567644317
"566",66,6,0.855908567644317
"567",67,6,0.842133100588604
"568",68,6,0.842133100588604
"569",69,6,0.848953036138281
"570",70,6,0.868425729226618
"571",71,6,0.86588995367816
"572",72,6,0.872649943739055
"573",73,6,0.860221596404679
"574",74,6,0.867031507358751
"575",75,6,0.867031507358751
"576",76,6,0.848715186788164
"577",77,6,0.843214797479797
"578",78,6,0.835003219683408
"579",79,6,0.834438465076332
"580",80,6,0.834438465076332
"581",81,6,0.834438465076332
"582",82,6,0.834438465076332
"583",83,6,0.834438465076332
"584",84,6,0.834438465076332
"585",85,6,0.834438465076332
"586",86,6,0.857912175513257
"587",87,6,0.857912175513257
"588",88,6,0.832805964143957
"589",89,6,0.832805964143957
"590",90,6,0.832805964143957
"591",91,6,0.832805964143957
"592",92,6,0.822543535577004
"593",93,6,0.80836980201333
"594",94,6,0.809961203312739
"595",95,6,0.809961203312739
"596",96,6,0.825103465334459
"597",97,6,0.825103465334459
"598",98,6,0.828234314774607
"599",99,6,0.828234314774607
"600",100,6,0.859577995925051
"601",1,7,0.9720392886302
"602",2,7,0.967450303473506
"603",3,7,0.960031753192589
"604",4,7,0.96976250411066
"605",5,7,0.967436341905292
"606",6,7,0.956405462741827
"607",7,7,0.956301922587031
"608",8,7,0.96019691711749
"609",9,7,0.952820366211493
"610",10,7,0.943173829786781
"611",11,7,0.944744575540513
"612",12,7,0.928284824772572
"613",13,7,0.947564483173389
"614",14,7,0.944251843208192
"615",15,7,0.945635115412235
"616",16,7,0.94603417204509
"617",17,7,0.921200711968957
"618",18,7,0.932262693092836
"619",19,7,0.919955544146373
"620",20,7,0.934974975157683
"621",21,7,0.925104793920921
"622",22,7,0.923419630122961
"623",23,7,0.932562362760578
"624",24,7,0.928992753806771
"625",25,7,0.94245610887963
"626",26,7,0.901831838926335
"627",27,7,0.919707119302294
"628",28,7,0.919746164738329
"629",29,7,0.923993410462835
"630",30,7,0.893297536202392
"631",31,7,0.917277988866621
"632",32,7,0.906215398704459
"633",33,7,0.898281227264302
"634",34,7,0.890627681630946
"635",35,7,0.92530743132257
"636",36,7,0.885351881557914
"637",37,7,0.905940985896593
"638",38,7,0.908329662866605
"639",39,7,0.909825914060685
"640",40,7,0.914877207731327
"641",41,7,0.911769489630274
"642",42,7,0.892249168391837
"643",43,7,0.907426397936573
"644",44,7,0.894838414673754
"645",45,7,0.896151846082724
"646",46,7,0.899296361146186
"647",47,7,0.886389341492054
"648",48,7,0.89276430993938
"649",49,7,0.88048713099778
"650",50,7,0.889708333755326
"651",51,7,0.863756666679491
"652",52,7,0.903453940113745
"653",53,7,0.903453940113745
"654",54,7,0.8851919526896
"655",55,7,0.881235391331749
"656",56,7,0.894575497824975
"657",57,7,0.837442793621517
"658",58,7,0.868730529644586
"659",59,7,0.863015305725738
"660",60,7,0.860005854183818
"661",61,7,0.858712580052578
"662",62,7,0.870866632955394
"663",63,7,0.889496858845447
"664",64,7,0.859424323263978
"665",65,7,0.859424323263978
"666",66,7,0.859424323263978
"667",67,7,0.8413671558195
"668",68,7,0.8413671558195
"669",69,7,0.858649465814307
"670",70,7,0.866916173110089
"671",71,7,0.868880686874276
"672",72,7,0.869508990501298
"673",73,7,0.852716875409694
"674",74,7,0.868471496477578
"675",75,7,0.868471496477578
"676",76,7,0.840562693289978
"677",77,7,0.842888445836155
"678",78,7,0.832574241682175
"679",79,7,0.83477140423138
"680",80,7,0.83477140423138
"681",81,7,0.83477140423138
"682",82,7,0.83477140423138
"683",83,7,0.83477140423138
"684",84,7,0.83477140423138
"685",85,7,0.83477140423138
"686",86,7,0.855731269091267
"687",87,7,0.855731269091267
"688",88,7,0.827520804628444
"689",89,7,0.827520804628444
"690",90,7,0.827520804628444
"691",91,7,0.827520804628444
"692",92,7,0.841812093285569
"693",93,7,0.810098318772393
"694",94,7,0.811516626808064
"695",95,7,0.811516626808064
"696",96,7,0.829269192291492
"697",97,7,0.829269192291492
"698",98,7,0.819735812358076
"699",99,7,0.819735812358076
"700",100,7,0.866256467714665
"701",1,8,0.972719085530224
"702",2,8,0.97132914920415
"703",3,8,0.960548687110075
"704",4,8,0.972113198190374
"705",5,8,0.96753839553568
"706",6,8,0.959795294829293
"707",7,8,0.959291323146239
"708",8,8,0.963716097385328
"709",9,8,0.953329649825452
"710",10,8,0.944997325179571
"711",11,8,0.949271382947837
"712",12,8,0.933932366132775
"713",13,8,0.950331170415461
"714",14,8,0.94703896748229
"715",15,8,0.94211993654398
"716",16,8,0.948276496775905
"717",17,8,0.927696574308701
"718",18,8,0.938724597690798
"719",19,8,0.922099824925399
"720",20,8,0.939460569271029
"721",21,8,0.926407224798678
"722",22,8,0.926220420299052
"723",23,8,0.938077813756882
"724",24,8,0.924564180469545
"725",25,8,0.942022639116671
"726",26,8,0.908774101791863
"727",27,8,0.923976494368641
"728",28,8,0.92565181224871
"729",29,8,0.930503377748046
"730",30,8,0.897858765201039
"731",31,8,0.925949739171853
"732",32,8,0.904276423340697
"733",33,8,0.905777478174771
"734",34,8,0.891197733038602
"735",35,8,0.924383930305214
"736",36,8,0.896291132707263
"737",37,8,0.906216322111467
"738",38,8,0.903351275896654
"739",39,8,0.912963593603723
"740",40,8,0.917748468223692
